,평점,일시,감상평
267,10,2020.02.19 16:31,오만과 편견을 좋아하신다면 꼭 보세요
268,10,2020.02.18 22:48,클래식은 영원하다. 책도 읽어보려구요
269,9,2020.02.18 22:25,클래식은 영원하다. 책도 읽어보려구요
270,8,2020.02.18 19:33,또 보고싶을만큼 재미있음
271,8,2020.02.18 00:23,또 보고싶을만큼 재미있음
272,10,2020.02.17 22:13,추억을 떠올리게 하고~인생을 다시 되돌아보게 하구~정말 감동적인 영화네요~오늘 작은아씨들 영화 두번째 봤네요^^
273,8,2020.02.17 14:04,"고전을 영화로 만들었기에 결국 연기와 감독의 파워를 볼 수 밖에 없는 건데, 너무 난잡하게 섞어 버림. 과거/현재/조의 꿈. 베스와 에이미는 미스캐스팅한 것 아닌가 하는 생각."
274,10,2020.02.17 13:08,비록 이 영화의 시대를 살아보지는 않았지만 생생하게 느낄 수 있었습니다 슬프기도 했지만 조 가족을 보면서 많을걸 느꼈네요 오래오래 기억에 남을거 같아요 꼭 보세요
275,10,2020.02.16 05:24,시대가 바뀌니까 에이미가 다르게 보이네!
276,10,2020.02.16 05:14,"따스한 분위기의 잘 만든 영화~~과거와 현재를 교차해가며 보여줄 때, 색감에 차이를 줘서 분위기에 변화를 주는데 그게 씁쓸한 기분이 들 때가 많았음. 영상 너무 예쁘고 배우들 하나하나 연기 잘하고! 그 많은 배우들이 나오는데 인물이 입체적이고 몰입도가 높다는 점에서(캐릭터를 보는 애정 어린 시선이 느껴짐! -누구하나 밉지 않고, 대고모까지도ㅎㅎ) 역시 그레타 거윅이구나 했고~개인적으로는 좋아하는 배우들이 많이 나오고 작은 아씨들을 통해 여성의 삶에 대해 생각해 볼 수 있는 기회가 되어 내겐 참 좋은 영화였음,, "
277,8,2020.02.15 18:20,잔잔하면서 4자매의 우정과 사랑 꿈을 볼수있어서 재미있고 영상도 좋았어요
278,10,2020.02.14 20:14,혼자 조용히 평일 오후 영화관 찾아가서 봣습니다. 볼 영화도 별로 없고 원작내용도 모른채 무심코 가서 관람햇습니다. 마음이 따뜻해지고 눈시울이 붉어지는 좋은 영화엿네요. 참고로 30대 남자입니다..
279,8,2020.02.14 11:53,와..걍.. 눈이 즐거움 보는 내내!!
280,8,2020.03.15 00:22,와..걍.. 눈이 즐거움 보는 내내!!
281,9,2020.02.29 00:39,좋더라 이야기 흐름이..좀 교차 편집이 심하긴 했지만.. 재미있게 잘봤습니다.
282,10,2020.02.28 22:40,하루10시간 7일중 6일근무하고 휴일 전날에 집가서 저녁먹고 바로 영화 보러 갔는데요 영화보는내내 잠 한번 안잤습니다.. 피곤한줄도 모르고 푹 빠져서 봤어요 자매라서 그런지는 몰라도 영화 속 깨알 포인트라던지 자매들만의 느낌..? 에 너무 공감했네요 ㅎㅎ 왜 의상상을 받은지 알 거 같고 저도 한번쯤 저런 옷을 입어봤으면.. 하는 생각도 들었구요 ㅋㅋ 영화 내려가기전에 한번 더 보고 싶어요! 
283,10,2020.02.21 14:18,하루10시간 7일중 6일근무하고 휴일 전날에 집가서 저녁먹고 바로 영화 보러 갔는데요 영화보는내내 잠 한번 안잤습니다.. 피곤한줄도 모르고 푹 빠져서 봤어요 자매라서 그런지는 몰라도 영화 속 깨알 포인트라던지 자매들만의 느낌..? 에 너무 공감했네요 ㅎㅎ 왜 의상상을 받은지 알 거 같고 저도 한번쯤 저런 옷을 입어봤으면.. 하는 생각도 들었구요 ㅋㅋ 영화 내려가기전에 한번 더 보고 싶어요! 
284,8,2020.02.19 22:31,별 슬픈 장면도 없는데 울컥하게되는 영화. 조의 유년기가 지나고 여느 성인처럼 불안과 성숙의 과정이 공감됐다. 그건그거고 로리는 아무리봐도 조랑 잘 어울려 에이미랑 키스할 때 아니야 오만번외침 하..
285,10,2020.02.15 18:56,마음이 몽글해지는 따뜻한 영화ㅠㅠ
286,10,2020.02.13 10:56,처음부터 끝날때까지 장면 하나하나 넘 좋았습니다. 행복했습니다~
287,10,2020.02.13 10:23,영화를 보다보면 예전에 읽었던 책 ’작은아씨들’이야기가 새록새록 떠오르기도하고 배우들의 연기를 보다보면 완전 새로운 이야기를 보는것처럼 빠져듭니다!정말 잘 표현해낸 영화에요
288,10,2020.02.13 01:58,"큰 기대에 잘 미친 영화. 과연 아카데미 노미네이트작다웠다. 원작에 무지한 채로 관람하여 스토리는 흥미진진했다. (지인은 원작이 더 재미있다고) 그레타 거윅의 작품 해석 방식에 감탄했다. 배우들 또한 인상깊으며 사랑스럽다. 다들 예쁘고 멋있다. 미술 부분에서도 압권이다. 의상이 정말 매력적이며, 색감 또한 옛날 영화의 빈티지스러움이 취향에 맞았다. 마지막으로 티모시 샬라메, 어떤 영화에서도 그는 항상 빛난다. 팬으로서 한 번 더 반했다. "
289,10,2020.03.02 19:10,"난 자매 중 막내라 에이미한테 이입이 가장 많이 됐다. 그 서러움 질투심, 언니들처럼 성숙하고 싶은데 마냥 어려지는 그 모든게 다 .."
290,10,2020.02.22 08:55,소설 영화로 여러번 봐서 아는 내용도 감독과 배우에 따라 느껴지는 감흥이 새롭다는걸 다시한번 느끼네요^^눈물 조금 행복 가득한 영화~ 여성의 삶에 대한 깊은 애정과 통찰력을 볼 수 있습니다♡
291,10,2020.02.18 01:18,"여성이라면 공감 할 내용 이며, 내가 왜 우는지 모르게 눈물이 흐른다."
292,10,2020.02.18 00:45,지금 이 영화가 나에게 줄 수 있는 모든 감정
293,10,2020.02.14 13:26,"또 보고싶을 정도로 마음에 든 영화,. 보면서 슬프고 감동적이었어요"
294,7,2020.02.14 00:40,연기가 약간은 오버스러운감이있어서 몰입도가 떨어졌다 그거빼고는 전반적으로 괜찮았던 영화
295,10,2020.02.13 08:47,시사회로 먼저보고 개봉당일 N차 관람 하고옴 일단 남주는 같은 남자가 봐도 잘생김 엠마왓슨은 언제나 존예임 ㅜㅜ 플로랜스퓨는 이쁘고 연기도 잘함 원래 로맨스 영화 극장에서 안보는 편인데 이 영화는 나의 고정관념을 깨준 인생영화임 영화 보는내내 행복하고 슬픈 감정이 들었다 
296,10,2020.02.20 21:52,감독의 각색이 빛을 발하고 배우들의 연기 스토리 모두가 완벽하다. 1917 안봤는데 이 작품만해도 기생충은 이작품에게 미안해해야할듯하다.  아카데미 작품상으로도 손색이 없다.
297,8,2020.02.17 15:00,조를 보며 나를 보았다.
298,10,2020.02.14 12:52,싸우는것도 사랑스런 자매들!!  기대했던것 만큼 감동~
299,10,2020.02.14 12:52,정말 행복한 시간이었습니다ㅠㅠ
300,10,2020.02.14 12:52,"옛날감성이 느껴지는 영화, 너무 좋은 영화입니다"
301,10,2020.02.14 11:54,이런게 바로 명작이죠. 진짜 최고입니다.
302,10,2020.02.13 05:07,"일상을 이야기하듯, 사랑과 이별을 전달하며 그 안에 연민과 책임 시대적인 분위기를 그려낸다. 따뜻함과 차가운 스크린이 대비되듯 조의 감정을 날 것의 있는 그대로 보여주는 모습이 인상적이었다."
303,10,2020.02.12 20:31,명대사가 많은 영화 아니였나 싶네요 감동적이고 잔잔한 영화 같아요 코미디나 액션쪽을 즐겨보시는 분이라면 지루할수도 있을 법 해요
304,9,2020.02.12 13:33,보는 내내 행복했습니다 너무 오랜만에 보는 따뜻한 영화 배우들 미모와 연기에 내내 감탄
305,1,2020.03.20 18:31,"사람이 아무 기대를 안해도 실망할 수 있다는 걸 알게 해준 영화. 정말 실망스럽다. 배역도 엉망이고, 연기도 엉망이고, 연출도 엉망이다."
306,10,2020.02.15 16:52,봄 햇살 같은 영화에요!
307,10,2020.02.13 21:57,플로렌스퓨.. 가장 기억에 남네
308,10,2020.02.13 04:05,제일좋아하는책...티모시샬라메랑 엠마왓슨 나올때 너무 잘생기고 예뻐서 헉 소리 나와요.... 재밌게 잘봤습니다 ㅜㅜㅜㅜ
309,10,2020.02.13 00:24,"가장 기억에 남는 대사는 조가 아무리 글을 쓰고 읽어도 자신의 분노를 다루지 못한다고 했을 때 어머니가 해 주던 말이었다. 사람은 누구나 화를 내고, 분노하지만 그 방법을 찾아야 한다는 것. 친구랑 싸운 지 얼마 되지 않아 그랬던 것 같다. 볼 때마다 마음에 박히는 장면이 다를 정도로 배울 점이 많은 영화 같다 "
310,10,2020.02.12 20:32,시얼샤 로넌이 '조'를 표현하는 주체적 여성상과 감정선 모두 기억에 남을 정도로 좋았습니다. 또한 영상미와 의상들 다 아름답고 좋아서 영화가 더 대박나길 바랍니다!
311,7,2020.05.16 18:09,나쁘진 않았는데 예전 위노나 라이더 주연의 작은아씨들이 개인적으로 더 좋았음..
312,6,2020.04.30 15:49,20분 보다가 지루하고 재미없어 내 스타일 아니다 싶어 종료.
313,2,2020.04.26 22:11,이렇게 재미없을수가..
314,10,2020.04.26 19:00,아카데미 의상상을 받은 이유
315,10,2020.04.20 18:31,작은 아씨들 영화 추천합합니다 !!!!
316,10,2020.04.17 01:27,그냥..너무 좋았다...
317,10,2020.04.15 00:39,다 아는 얘긴데 왜 이렇게 재미있지? 왜 보는데 눈물이 나지?
318,8,2020.04.08 05:25,원작자 루이자 메이 스콧의 일생과 조의 이야기를 영리하게 섞었다.모두가 칭찬하듯 스토리 지향점은 좋았으나 조에게 서사와 감정이 집중되는 바람에 다른 인물들의 개연성이 좀 떨어지는 건 아쉬웠다. 조 역으로 시얼샤로넌은 완벽했지만 그래도 동일 원작 영화인 90년대 것이 더 캐스팅이 낫다. 전통주의자인 메그 역에 엠마 왓슨을 쓴 건 재능 낭비처럼 보였고 베스 역의 배우는 넘 건강했고 에이미 역의 배우는 젤 나이들어 보여서 감정이입이 힘들었다. 그럼에도...여성들의 사랑과 결혼 그리고 일에 대해 많은 생각을 하게 하는 좋은 영화라 생각한다. 
319,10,2020.04.08 02:35,조 역할을 엠마왓슨이 맡았더라면 어땠을까 라는 아쉬움이 계속 머리에 맴돈 채 봤다ㅠㅠ
320,6,2020.04.05 23:57,작은아씨들은 어릴 때 두번 이상 읽었던 참 좋아했던 소설인데 이번에 새로 영화로 나와서 얼마나 기뻤고 기대했는지 몰라요...헌데 기대치가 너무 높아서인지...높은 평점과는 다르게 저는 아쉬운 부분들이 많았네요..교차편집이 굉장히 산만하게 느껴졌고 감정을 제대로 느낄 새 없이 너무 많은 이야기들이 빠르게 넘어가버려요 그냥 줄거리보는 느낌이었어요 막내 에이미는 막내같지알게 가장 나이가 많아보였어요 소설에서는 밉상이었지만 이 영화에서는 스토리때문이기도 하겠지만 네자매중에서 얼굴이가장 원숙해보여서인지 진중함과 슬픔이 더 많이 느껴졌어요...밉상행동 할 때도 밉상 느낌이 별로 안느껴질 정도..에이미는 밉상이 제맛인데 ㅋ암만 봐도 자기주장 강해보이고 할말 많아보이는 엠마 왓슨은 비교적 온순하고 평이한 성격으로 나와서 뭔가 안 어울렸어요(지극히 개인적인 의견^^;;)시얼샤 로넌이 역할과 가장 잘 어울렸던 것 같아요..다음으로 베스가 생각했던 이미지와 비슷하게 나온 것 같았는데...암튼 한시간 넘게 보다가 스킵하면서 보았는데 그나마 그렇게라도 볼 수 있었던 건 티모시 덕분이었어요 감독이 여기저기 끼워놓은 이유가 있는 듯ㅋ 
321,10,2020.04.04 03:18,찬란했던 유년시절의 기억을 일깨워준 영화 그 시절이 너무 그리워 하마터면 눈물이 날 뻔했다
322,10,2020.04.04 02:35,최고의 영화 잔잔하지만 많은 것을 담은 영화
323,10,2020.03.30 02:41,지루하지 않고 잔잔하면서 끝까지 보게 되는 연출력이 인상적이네요.이런 영화 너무 좋아요~
324,10,2020.03.29 23:32,가장 이상적인 여성영화. 여성의 주체성을 표현 하지만 강요하지 않고 주체롭지 못하다고 비난하지 않고 여성의 모든 선택을 다 존중한다. 남성을 부당의 존재가 아니라 공존의 관계로 이해하는 이런 게 진정한 폐미즘 아닐까 
325,8,2020.03.28 12:57,이렇게 주인공과 주변인들이 행복한 결말을 맞을 수 있었던건 주인공이 우연치 않게 책을 성공한것도 있지만무엇보다 대고모(부자 할머니)가 재산을 물려준 덕이다.. 씁쓸하구먼ㅋㅋㅋ사실 책이 실패했어도 학교 덕에 넉넉히 살거고 성공하면 더 좋고 
326,9,2020.03.27 08:45,영상미가 너무 아름다운영화 초반부엔 과거와 현재 교차하며 정신없을 수 있으나 어느새 영화에 깊이 빠져들어 울고 웃고 있는 나르 발견할 수 있다
327,8,2020.02.24 11:05,초반좀 지루함. 따뜻한 이야기
328,10,2020.02.22 23:06,네 배우도 좋았지만 그레타 거윅에게 박수를 보내고 싶다
329,10,2020.02.22 21:01,"어렸을 때 재미있게 읽고 성인이 되어 개봉한다기에 다시 읽은 책. 책속에 주인공들이 그대로 재현되는 것 같아 흥미로웠고 자매가 있기에 더 공감되고 감동적이였던 영화,,보는 내내 유년시절의 행복감을 느낄 수 있었다,,,, 책속에 주인공들 성격에 맞는 캐스팅으로 잘 표현된 것 같고 미래와 과거를 오고가서 처음엔 혼란스러웠지만 그만큼 대비되어 더 강렬하게 와닿았고 점점 몰입해서 볼 수 있었다. 소장해서 또 봐야지(무엇보다 티모시넘 잘생겨써 ♡ ) "
330,8,2020.02.22 00:17,"영화감상 초보인 나에게는 액자식 이야기 진행이영화 내용을 이해하기 조금 힘들었지만 이해함.현실에서 있을법한 이야기인것 같았고, 그 시대의 여성들의남녀차별에 대한 인식등을 알게 되었다.큰 긴장감 없이 잔잔하게 평온하게 보고 온 영화이다. "
331,9,2020.02.21 23:59,슬프고 구성이 예쁜 영화
332,10,2020.02.21 23:23,음악과 영상미도 최고 배우들 연기도 최고
333,10,2020.02.20 23:33,잔잔하니 너무좋았어요.
334,10,2020.02.20 23:13,이게 영화다 클로젯보고 썩은 눈 정화합니다
335,10,2020.02.20 20:04,힐링영화
336,10,2020.02.20 11:03,진짜 영화 색감 미쳤음... 중간중간 연출하는 것도 자연스러웠고 그동안 봤던 영화 중에 재미있었던 영화에 꼽힐정도 여러분 두번 보세요
337,10,2020.02.19 21:40,시대를 초월한 여성이기에 공감할 수 있는 영화
338,10,2020.02.19 12:20,"졸업할때 부푼 꿈을 안고 취직했지만, 내 상상속의 모습과 현실은 다름을 느끼며 포기하고 싶을때도 많다. 어렸을 적 동생들과 놀던 추억이 생각나면서도 지나간 추억으로밖에 남길수없는 슬픔. 앞으로는 내가 순수했던 동심으로는 살수 없어 느끼는 씁쓸함도 다시한번 느낄수 있는 영화. 조와 그외 자매들을 보면서도 누구하나 이해가 안되는 인물이 없었다. 웰메이드 영화! "
339,10,2020.02.19 11:26,어제 보고 오늘 또 볼 영화
340,10,2020.02.19 10:09,세네번울었던거같다 거의조에빙의돼서봤다 너무나자체고 댓글에적혀있는명대사들보면서 전부울었다 왜우리는강해지길바라면서 사랑을할까ㅜㅜ
341,10,2020.02.19 09:52,어제 오후 친구들과 본 영화 계속 여운이 남아서 원작 책도 샀음. 마블 시리즈 다음으로  내 인생최고의 영화가 아닐까 싶다.  나중에 DVD 나오면 꼭 사서 계속 보고싶다.
342,10,2020.02.19 03:11,아작 못봤는데 메릴스트립 조연일지라도 나온다니까 보려고 함ㅋ 세계인증급 배우니까.
343,10,2020.02.18 23:44,유년시절의 즐거움을 그리워하는 조를 보고 울컥했어요.. 재밌어요 강추!!
344,8,2020.02.18 23:21,조랑 로리가 이어지길 바랬음. 동생에이미로 갈아탄거 보고 너무 충격적이었고 조 너무 안쓰러웠음 ㅠㅠㅠ
345,10,2020.02.18 23:18,너무재밌어요 보는 내내 주인공을 응원하게되는 영화
346,10,2020.02.18 19:28,너무재밌어요 보는 내내 주인공을 응원하게되는 영화
347,10,2020.02.18 19:25,최근들어 본 영화중 최고
348,10,2020.02.18 18:26,조 ㅜㅜ 너무 매력적이야! Ost도 두고두고 들을듯
349,8,2020.02.18 18:09,영화 매 장면이 너무 예쁘고 여성에 대한 진솔한 이야기가 좋다. 아직까지 공감이 되는 이야기
350,10,2020.02.18 17:04,슬픈 장면은 딱 한 번 뿐인데 영화 내내 눈물 났네요. 손수건 가져갈걸 그랬어요. 신파 억지감동 정말 싫어하는데 슬퍼서 우는게 아니라 마음이 너무 따뜻하고 포근하고 주인공들이 너무 예뻐서 나는 눈물이었어요. 혼자 가서 보시길 추천드려요. 한 번 더 보고싶네요. 
351,10,2020.02.18 04:42,사랑의 따뜻함이 유독 많던 영화. 영화 보구 제가 얼마나 따뜻해진지 몰라요. :)
352,10,2020.02.18 03:28,영화 자체가 재밌고 일단 티모시 보는 재미가 있음ㅋㅋㅋ
353,9,2020.02.18 01:31,잔잔하니 힐링이 되는듯한 영화였어요~쥐락펴락 하면서 반전도 있고 재밌네요~
354,10,2020.02.18 00:37,너무 좋아..
355,10,2020.02.18 00:15,보석보다 빛나는 당신의 일상. 당신의 두눈이 보석보다 더 찬란하게 빛납니다.
356,10,2020.02.17 23:45,이 영화를 볼 수 있어서 행복하다
357,10,2020.02.17 23:01,
358,10,2020.02.17 23:01,
359,9,2020.02.17 22:56,"영화 색감이나 풍경, 의상 모두 너무 이뻐요 배우들 얼굴도 너무 이쁘고 잘생겼고 연기도 잘해요 스토리도 좋고 눈호강했어요!"
360,10,2020.02.17 22:24,명작의 완벽한 재현이다. 보는 내내 미소짓게 한 아름다운 영화였다.
361,10,2020.02.17 21:36,"역시 명작은 명작임을 느낌. 원작도, 94년도 영화도 너무 재밌게 봤는데, 이번에도 실망하지 않았다. 각 캐릭터들의 매력을 다시금 느낄 수 있었다."
362,10,2020.02.17 16:53,힐링 그 자체임... 행복했다 보는 내내
363,8,2020.02.17 15:54,힐링 그 자체임... 행복했다 보는 내내
364,9,2020.02.17 14:16,힐링 그 자체임... 행복했다 보는 내내
365,10,2020.02.17 13:49,"어렸을 때 마냥 좋아했던 그 감정과는 다르게 새롭게 좋았다. 어른이 되서 이 작품을 다시보니 그때는 알아채지 못했던 삶에 대한 메세지들이 굉장히 중요한 질문으로 다가왔다. 걸작인 원작을 재현해서 또 다른 걸작을 만들어낸 느낌. 영화를 보고 나서도 한참, 며칠동안 계속 여운이 남고 생각나는 영화였다. "
366,10,2020.02.17 13:34,두시간 내내 엄청 몰입해서 봤어요 특히 조ㅜㅜ 조에게 엄청 과몰입해서... 고난과 역경을 겪을 때 마다 내가 더 힘들었음...ㅠㅠ
367,10,2020.02.17 11:33,이렇게 인생 영화가 하나 더 생겼다
368,7,2020.02.17 03:40,결혼한 사람은 안다.메릴스트립의 말이 백번 맞다는걸.
369,10,2020.02.17 02:11,전개도 좋고 배우들도 연기 너무 잘하고ㅠㅠ 배경이랑 옷이 너무 예뻐서 보는 재미도 있어요!! 다시 보고 싶은 영화
370,10,2020.02.17 01:18,개인적으로 인생영화에요ㅠㅠㅠㅠ 끝나고도 계속 여운 남고.... 진짜 흠 잡을 데 없는 영화에요!!!! 제 인생 처음 영화 후기입니다!!!!
371,7,2020.02.16 18:40,영상미랑 색감 다 좋았는데 솔직히 좀 루즈했음 20분정고 줄였으면 딱 좋았을듯
372,10,2020.02.16 18:14,영상미랑 색감 다 좋았는데 솔직히 좀 루즈했음 20분정고 줄였으면 딱 좋았을듯
373,10,2020.02.16 17:31,그 시대작이라고 믿을수 없을 정도의 진보된 주인공. 원작에 애착이 많았는데 영화 역시 좋았습니다
374,10,2020.02.16 17:03,사랑스럽다. 영화가 끝나고 자연스럽게 책을 펼치게 되었다. 따뜻하고 포근하다
375,9,2020.02.16 08:54,
376,10,2020.02.16 08:36,
377,10,2020.02.16 07:07,가슴 뭉클한 가족의 따뜻한 사랑이야기~
378,10,2020.02.16 06:35,
379,10,2020.02.16 06:00,너무나 아름다운 영화!!언제까지나 다시 보고싶을 영화!!
380,10,2020.02.16 04:24,다 연기를 너무 잘하고 배경음악도 너무 좋았어요
381,9,2020.02.16 02:26,빨간머리앤작은아씨들제인에어내가 좋아하는 진취적이고 독립적이며 자신이 삶을 만들어갈 줄 아는 개척자인 여성들의 이야기
382,10,2020.02.15 21:21,"레이디 버드의 그레타 거윅, 시얼샤 로넌, 티모시 살라메가 다시 모여 감동을 선물하네요"
383,8,2020.02.15 19:14,중간에 살짝 졸았어요 잔잔한 스토리예요 자매들의 감정을 잘담은듯 합니다
384,10,2020.02.15 18:54,
385,8,2020.02.15 18:17,이런 19세기 영미소설 영화화한 느낌 너무 조음....  따뜻하고 정겹고 아웅다웅 다투면서도 행복한 느낌 개인적으로 오만과편견 비커밍제인 이런 제인오스틴류 좋아한다능...그리고 늘 꿈꾸는 거지만 저렇게 넓게 펼쳐져있는 초원 같은 곳에서 저런 집 짓고 살고싶다 ㅠㅠ 매일 매일 걸으면서 그냥 산책만 해도 좋을듯... 겨울에는 황량하겠지만..  겨울이 있다는 건 또 푸르러질 봄이 온다는 거니까! ㅎ.ㅎ 
386,9,2020.02.15 13:26,마지막에 우는 여자분들 좀 있더라... 순간 울컥 하면서도 공감하며 미소 짓게 되는...  연기도 연출도 좋았음.
387,10,2020.02.15 12:22,비슷하개 개봉한 할리퀸 영화와 크게 대조된다. 여성중심의 여성서사를 다르고있지만 일부 페미들말과 다르게 이영화만 보더라도 여성중심영화가 아니라 그저 못만든 영화는 못만들어서 평점이 낮고 이런 영화들같이 잘만든다면 평점이 높은것이다. 
388,10,2020.02.15 11:27,진짜 너무좋다..최애배우들 총집합에 19세기 감성까지! 갠소하고싶은 영화
389,8,2020.02.15 04:57,고전적인 생기를 불어넣으며 자신들의 세계를 구축하는 여인들.
390,10,2020.02.15 02:03,"나의 최애 영화가 될지도 모르는. 연기력에, 연출력에, 따뜻한 영상미에 취해 감상하다가도 각자 인물들이 겪어야 했던 그 시절의 고충에 대하여 다시금 생각하게 된다. 어쩌면 지금까지도 그 고충들이 우리 주변에 남아있기에. 영화를 보는 내내 나도 모르게 눈물이 났다. 스크린에서 과거와 현재를 수없이 이동하며 이야기가 전개되기에 다소 어지러울 수 있지만, 영화에 빠져드니 그건 불편함이 되지 않았고 인물의 감정을 더욱 깊이 이해할 수 있었다. 보고만 있어도 마음이 따뜻해지는, 사랑스러운, 그리고 강인한 네 자매에게 무한한 애정이 생기는 영화. "
391,8,2020.02.15 01:33,원작을 본 사람에겐 호불호가 있겠지만 잘 모르는 사람에겐 꽤 큰 재미를 줄 것 같다. 영화로서 뛰어난 영상미와 연출은 박수가 나오지만 주역인물들이 다소 많다는 점과 조금 더 디테일하게 각자의 이야기를 풀고 극의 흐름과 호흡을 길게 가져갈 수 있도록 드라마화가 되보면 더 좋지 않을까 개인적으론 생각을 해본다. 
392,10,2020.02.15 00:25,한장면도 버릴것 없는 영화
393,10,2020.02.14 23:18,마음을 촉촉하게 어루만져준~~^^
394,10,2020.02.14 22:35,여성의 결혼과 일 그 사이에 놓인 로맨스와 권리. 그 이중잣대를 이토록 사랑스럽게 그린 작품이 또 있던가.
395,9,2020.02.14 21:47,내 유년시절이 다 지나갔다니 믿을 수 없어..
396,10,2020.02.14 20:11,세상의 모든 자매들에게
397,10,2020.02.14 18:16,모든 배우들의 조합이 좋았다
398,8,2020.02.14 17:21,영화 색감이 너무 좋다. 그리고 다 떠나서 영화에 악역이 없어서 너무 좋다.
399,8,2020.02.14 14:54,그레타 거윅..  거장의 싹수가 보인다그레타 거윅과 시얼샤 로넌 콤비의 앞으로의 모든작품이 기대가 된다
400,10,2020.02.14 13:13,어렸을 때 많이 읽은 소설이라 그런지 슬픈 장면도 아닌데 왜 자꾸 눈물이 나는지 모르겠다. 괜히 먹먹하고... 그냥 보세요. 너무 좋았음 또 볼거임 빠지는거 하나없이 완벽한 영화! 그리고 로리랑 안이어진 이야기도 좋았음 감독님 최고단점이라면 네자매가 하나도 안닮아서 뭔가...음... 
401,9,2020.02.14 13:08,편안하게 볼 수 있는 영화
402,9,2020.02.14 12:27,아니  너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 너무재밌어 꼭 보세요 
403,9,2020.02.14 12:10, 아는 사람은 그때의 추억과 감동을 회상하며 다시보고 처음 보는 사람은 그 감동과 분위기를 고스란히 받길 바라는 영화입니다. 제발 참을성 없는 어린 아이들 데리고와서 어거지로 보여주지 마세요. 아주 지루해 죽으려고 하더군요. 영화관 매너를 아예모르는 나이도 아닐 초등학생들이 떠들기도하고 너무 지루했는지 나갈채비를 30분 전부터하며 나갔다 들어왔다를 반복하는데 정말.. 이런 영화는 관심있고 참을성있는 아이들만 데려왔으면 좋겠습니다. 주변사람 영화감상 방해되지 않게요. 
404,9,2020.02.14 06:41,잔잔한 감동이 영화 곳곳에 깔려있었다 과거와 현재를 넘나드는 연출이 조금 정신없게 느껴질 수도 있었겠지만 색감에 차이를 두어서 오히려 현재와 과거의 차이를 극대화 시킬 수 있었던거같다
405,10,2020.02.13 19:38,매년 그레타 거윅의 영화를 보고싶어요. 죽을 때까지
406,1,2020.05.04 18:53,와..한시간을 봤는데.개짜증?3번 졸다 자다 깨네요 신발!신발!수박씨 발라 먹어 영화! 보지마세요
407,9,2020.03.31 21:04,나쁜 인간이 하나도 나오지 않는 영화가 너무 오랜만이다
408,2,2020.03.25 13:29,무감동. 긴 러닝타임. 지루함. 잼없는 영화. 90년대 위노나 라이더 나오는 작은아씨들이 더 기억에 남음.
409,10,2020.03.24 21:10,시얼샤 사랑해...
410,9,2020.03.15 23:55,영화만 봤을땐 자매들 서열정리가 너무 어렵다...베스가 에이미보다 언니라는사실은 리얼반전
411,10,2020.03.05 23:25,"영상미가 뛰어나고 다들 연기 너무 좋았음,, ㅠㅠ"
412,10,2020.03.05 15:15,작지만 큰 꿈을 품고
413,10,2020.03.05 13:25,영화를 보는 동안 ‘얼마나 많은 재능들이 빛을 발하지 못하고 사라졌을까’라는 생각이 문득 문득 들었다.
414,10,2020.03.03 13:13,어릴때 처음 작은아씨들을 보고 조를 제일 좋아했었어요. 어른이 되어 다시 보니 더욱 조를 닮아가야겠다는 생각이 드네요. 솔직하고 똑똑한 에이미 캐릭터도 정말 좋았습니다!
415,10,2020.03.02 00:24,밑에분은 영화를 안봤거나 지능이 모자라신듯..
416,10,2020.03.01 10:54,이런 좋은 영화가 정직한후보&찌푸라기같은 허접한 영화들에 밀린다는게 말이되나??? 기가막힌다...작은아씨들 상영관이나 늘여라
417,10,2020.03.01 03:50,동화 한편 보는 느낌ㅜㅜ 여주 너무 좋아요
418,10,2020.02.29 20:09,인생과 사랑이 무엇인가 생각해볼 기회를 준 영화라고 개인적으로 느꼈다
419,10,2020.02.29 19:43,각자의 삶이 이야기가 되고 책이된 것처럼 영화보는 내내 조가 가는길을 응원해주고 싶었다.
420,10,2020.02.29 18:47,감동적이고 슬펐어요
421,9,2020.02.29 18:15,친구와 정말 재미있게 봤습니다.^^
422,10,2020.02.29 18:06,
423,10,2020.02.29 17:00,조의 뜻과 선택을 응원하는 시대가 될 때도 되었지
