,평점,일시,감상평
45,10,2020.02.12 13:39,여주 연기 ㄹㅈㄷ...
46,8,2020.02.13 02:24,개인적으로는 95년 작품이 더좋았던거같아요ㅠㅠ로리에 대한 조의 감정은 무엇이었을지 헷갈리네요
47,6,2020.02.13 12:54,너무나도 좋아했던 책이고 영화였는데 이번건 왜이렇게 감정이입이 안되지... ㅠㅠ
48,6,2020.02.13 21:53,로리 왜 그렇게 만들어놓은 거예요ㅠㅠ로리는 신사답고 순수한 아인데...내 동심...에이미는 윈래 투정부리는 어린 아이아닌가여??...
49,8,2020.02.12 14:09,티모시때문에보러갔다가 모든 배우들에 반하고 왔다~~ 특히 플로렌스퓨 미드소마부터 눈여겨 봤었는데 이번엔 진짜 매력 장난아님ㅋㅋ
50,10,2020.02.13 17:51,"삶은, 지극히 소중하고 찬란한 것임을 깨닫게 해준 영화"
51,6,2020.02.12 18:45,재미있기도 하고 살짝 지루하기도 하고 영상미는 뛰어났음
52,10,2020.02.13 00:44,"내가 가장 인상 깊었던 장면은, 자신의 꿈만을 이야기하는 조에게 사랑을 외치는 로리였다. 왜 그 장면이 그렇게 슬프고 인상적인지 아직도 모르겠다."
53,6,2020.02.13 00:09,내가 17살에 봤던 작은아씨들과 37살에 본 작은아씨들은 너무 많은 차이가 있다는걸 알게 되었어요인상깊은대사가 엄마가 나이가 40이 되었어두 늘 화가 난다는 말에 크게 공감이 되었습니다.하지만 에이미는 여전히 얄밉습니다. 
54,10,2020.02.13 03:54,처음엔 조의 주체성만 눈에 띄었지만 생각해볼수록 작은 아씨들 모두가 주체적인 여성이었다. 사랑을 쟁취하고 꿈을 쟁취하려고 노력했던 그녀들. 그녀의 어머니조차 사랑스럽고 진취적인 여성이었다.
55,10,2020.02.13 17:01,보는 내내 행복했다
56,10,2020.02.12 22:42,"조야, 사랑은 타이밍이야 ^^;;;"
57,7,2020.02.12 21:23,"비교하고자 하는게 목적은 아니지만 평을 남기려면 비교를 할 수 밖에 없어서 혹시 불편하실분들이 계실수도 있음을 양해부탁드려요ㅜ.ㅜ95년판 위노나라이더가 나오는 작은아씨들을 보고 연출이 너무 좋아서 이 영화도 보게 되었어요. 시대적 분위기에 맞는 연출이 좋았었는데 그부분이 약간 덜느껴져서 아쉽긴했어요..ㅜㅜ그리고 평소 엠마왓슨의 이미지 때문인지 저는 멕과 조의 배역이 바뀌었다면 조금 더 좋았을 것 같다는 생각이 들었어요! ㅎㅎㅎ 좋았던 점은 다른평점 남겨주신 분의 이야기대로 에이미가 지난번과는 조금 다르게 보였고, 멕의 감정선도 많이 와닿았어요! "
58,9,2020.02.12 13:27,우리를 살아가게 만드는 것들과 서로를 사랑하게 만드는 것들에 대해
59,6,2020.02.12 17:18,영상미가 되게 이쁘고 색감이 좋은 영화인데 좀 지루한 감이 있고 상황의 순서가 뒤섞여서 헷갈리는 부분이 꽤 있었어요. 잔잔한 영화 좋아하면 추천드립니당
60,2,2020.02.12 20:34,어렸을 적 읽은 소설 생각이 나 부푼기대를 안고 보러갔으나 현재와 과거를 중구난방으로 넘나드는 연출에이 영화가 무엇을 말하려고 하는지 집중이 안됐다. 영상미 하나는 좋았어...
61,9,2020.02.18 16:22,"구걸하는 여인의 집을 직접 찾아가서 그 집안 형편 돌아보는 엄마, 크리스마스에 도저히 그 음식을 먹을 수 없어서 다 들고 가난한 이웃과 나누는 아름다운 장면, 진정한 크리스마스의 의미ㅠ 엄마도 분노를 누르는 법을 40년 동안 배워왔다는 말... 하나하나 그냥 흘려보내기 아까운 감동의 여운들. 근데 과거와 현재의 모자이크가 좀 산만한 느낌이 다소 있어요ㅠ "
62,8,2020.02.13 23:48,다른 건 모르겠고배역 중 제일 이해가 안가는 건 로리다 에이미를 사랑해서 결혼한건가?에이미는 로리를 사랑했지만 정작 로리는 에이미를 사랑해서 결혼한건지 참 의문이다..아무리 생각해도 로리는 이해하지 못하겠다
63,10,2020.02.16 17:08,다른 건 모르겠고배역 중 제일 이해가 안가는 건 로리다 에이미를 사랑해서 결혼한건가?에이미는 로리를 사랑했지만 정작 로리는 에이미를 사랑해서 결혼한건지 참 의문이다..아무리 생각해도 로리는 이해하지 못하겠다
64,10,2020.02.18 00:05,클라이막스에서 조가 사랑에 얽매이고 싶지않으면서도 너무 외롭다 터뜨리듯 외치는 말이 와닿았음...다 그렇지 않을까싶다ㅜㅜ 로리와 조의 사랑에 있어 엇갈린 타이밍도 기억에 남을거같다 조는 자유롭고 싶었겠지
65,10,2020.02.17 23:45,로리가 조한테 고백하는 장면 진짜 잊을수가 없다
66,8,2020.02.13 21:25,에이미 구해주는 장면에서 왜 눈물이 났는지...  강단있으면서도 자신이 자매들 중에 제일 사랑하고 사랑받고 싶어했던 시얼샤 로넌의 연기가 빛을 발한다. 그런데 엠마 왓슨이 제일 언니라서 뭔가 집중이 안되기도 했다.. 
67,6,2020.02.12 13:43,조 마치는 자신의 이름으로 책을 냈다.
68,8,2020.02.12 22:01,"""어떤 천성들은 억누르기엔 너무 고결하고 굽히기엔 너무 드높단다"" 인상적인 엄마의 대사. 다 보고나니 역시 주인공은 조라는 생각이 드네요. 영상미 음악 배우들의 연기까지 넘 멋짐"
69,7,2020.02.12 23:00,영상미가 너무 예뻤지만 전개가 아쉬웠던 영화
70,9,2020.02.14 18:33,로리 욕하는 사람덜... 원래 사랑은 변하는거임. 조가 로리를 거절했는데 로리가 언제까지나 조만 바라보고 살 수는 없지. 조 동생인 에이미한테 반한건 좀 놀랍지만 원작이 그런걸...
